country,year1990,year1995,year2000,year2005,year2010
China,3218.45,4019.32,4371.05,6974.05,9473.05
United States,5743.98,5957.92,6486.66,6480.32,6147.41
European Union,5138.52,4696.56,4608.54,4627.5,4295.1
India,1212.02,1440.4,1720.19,1914.46,2647.93
Russian Federation,2776.78,2374.02,2263.53,2163.4,2090.23
Indonesia,1025.74,1227.05,1372.32,1583.83,1928.02
Brazil,1606.59,1688.95,1778.98,2056.99,1773.77
Japan,1116.38,1209.94,1239.32,1237.4,1114.25
Canada,681.93,656.55,707,989.37,860.2
Mexico,477.07,515.61,607.18,685.04,728.7
