year,Human,Natural,Anthropogenic tropospheric aerosol,Greenhouse gases,Land use,Orbital changes,Ozone,Solar,Volcanic
1850,7,4,8,9,2,6,1,2,4
1851,6,1,4,8,9,3,7,5,2
1852,5,2,3,9,4,7,8,6,1
1853,6,2,9,8,3,5,4,7,1
1854,9,2,7,8,5,3,4,6,1
1855,9,1,2,8,5,6,3,7,2
1856,9,2,6,8,4,1,3,7,5
1857,7,9,1,6,5,3,4,2,8
1858,5,9,1,6,7,2,4,3,8
1859,8,9,5,7,4,3,1,2,6
1860,9,6,8,4,7,5,1,3,2
1861,9,7,8,6,5,3,4,2,1
1862,5,8,1,9,7,3,6,4,2
1863,8,3,9,6,4,2,1,7,5
1864,9,4,7,6,1,5,3,8,2
1865,6,7,5,9,3,4,2,8,1
1866,5,4,8,9,2,6,3,7,1
1867,5,4,2,6,3,7,8,9,1
1868,5,2,3,8,6,4,7,9,1
1869,4,2,8,5,7,6,3,9,1
1870,7,3,9,4,5,8,1,6,2
1871,2,1,7,6,4,8,5,9,3
1872,6,1,8,5,2,3,9,7,4
1873,6,2,5,7,3,4,9,8,1
1874,4,1,6,2,7,9,3,8,5
1875,3,4,9,2,8,6,5,7,1
1876,2,4,7,5,6,3,9,8,1
1877,1,3,5,6,4,7,8,9,2
1878,1,2,5,3,6,7,8,9,4
1879,1,2,7,3,4,5,6,9,8
1880,2,3,9,1,4,6,7,8,5
1881,1,2,5,3,8,7,9,6,4
1882,3,1,8,4,6,7,9,5,2
1883,2,8,4,1,3,6,9,5,7
1884,1,8,7,2,5,4,6,3,9
1885,1,8,7,4,3,5,6,2,9
1886,1,8,5,2,4,7,6,3,9
1887,1,9,7,2,3,5,6,4,8
1888,1,9,7,2,3,4,6,5,8
1889,1,9,7,3,2,6,5,4,8
1890,1,4,9,2,5,6,7,3,8
1891,1,9,6,2,5,3,7,4,8
1892,1,9,7,2,3,5,6,4,8
1893,1,9,6,2,3,4,7,5,8
1894,1,9,7,2,6,5,4,3,8
1895,2,9,8,1,7,5,6,3,4
1896,2,8,9,1,6,5,7,4,3
1897,3,9,8,1,6,5,7,4,2
1898,1,8,7,2,9,4,6,5,3
1899,2,9,5,1,8,3,7,4,6
1900,1,8,7,2,6,4,9,5,3
1901,1,5,8,2,9,3,7,6,4
1902,2,4,8,1,9,3,7,6,5
1903,1,9,7,2,4,3,5,6,8
1904,2,9,6,1,5,4,3,7,8
1905,2,9,7,1,6,3,4,5,8
1906,2,9,7,1,3,5,4,8,6
1907,2,8,9,1,3,5,4,6,7
1908,2,9,8,1,3,5,4,6,7
1909,1,9,8,2,4,6,5,7,3
1910,2,6,9,1,7,3,8,5,4
1911,1,3,8,2,9,5,7,6,4
1912,2,9,6,1,5,7,4,8,3
1913,2,9,6,1,4,3,5,7,8
1914,2,7,5,1,3,4,6,8,9
1915,2,3,6,1,9,7,5,8,4
1916,2,3,8,1,6,7,5,9,4
1917,2,4,7,1,3,9,5,8,6
1918,2,4,8,1,3,9,5,7,6
1919,2,3,9,1,5,6,8,4,7
1920,2,6,3,1,4,9,8,5,7
1921,2,5,9,1,6,8,4,7,3
1922,2,5,8,1,7,9,6,4,3
1923,2,7,8,1,6,9,4,5,3
1924,2,4,8,1,5,9,7,6,3
1925,1,3,8,2,7,9,5,6,4
1926,2,3,9,1,6,8,7,5,4
1927,2,5,8,1,9,6,4,7,3
1928,2,7,9,1,6,8,4,5,3
1929,2,5,8,1,4,7,9,6,3
1930,2,4,9,1,8,7,6,5,3
1931,2,8,9,1,7,6,4,3,5
1932,2,8,9,1,4,7,3,6,5
1933,2,4,9,1,3,9,5,6,7
1934,2,4,9,1,6,7,5,8,3
1935,2,3,9,1,7,8,4,5,6
1936,2,4,9,1,7,8,5,3,6
1937,2,3,9,1,8,6,4,5,7
1938,2,3,9,1,7,8,4,6,5
1939,2,3,9,1,4,8,5,7,6
1940,2,4,9,1,6,7,8,5,3
1941,2,3,9,1,8,6,4,7,5
1942,2,6,9,1,8,4,3,7,5
1943,2,6,9,1,8,7,3,5,4
1944,2,3,9,1,8,7,4,6,5
1945,2,4,9,1,7,6,3,8,5
1946,2,3,9,1,7,8,4,6,5
1947,2,3,9,1,7,8,4,5,6
1948,2,3,9,1,8,7,4,6,5
1949,2,3,9,1,8,7,4,6,5
1950,2,3,9,1,8,7,6,5,4
1951,2,3,9,1,7,8,6,4,5
1952,2,4,9,1,8,6,5,3,7
1953,2,6,9,1,8,7,4,5,3
1954,2,4,9,1,8,7,5,6,3
1955,2,4,9,1,8,7,5,6,3
1956,2,4,9,1,8,7,6,3,5
1957,2,6,9,1,8,7,4,3,5
1958,2,5,9,1,8,7,4,6,3
1959,2,5,9,1,7,8,4,6,3
1960,2,3,9,1,8,7,4,6,5
1961,2,3,9,1,8,7,4,5,6
1962,2,4,9,1,8,7,3,5,6
1963,2,5,9,1,7,6,4,3,8
1964,2,7,9,1,6,4,3,5,8
1965,2,7,9,1,6,5,3,4,8
1966,2,6,9,1,7,5,3,4,8
1967,2,6,9,1,7,4,3,5,8
1968,2,6,9,1,7,5,3,4,8
1969,2,5,9,1,7,6,3,4,8
1970,2,6,9,1,7,5,3,4,8
1971,2,7,9,1,8,6,3,4,5
1972,2,4,9,1,8,7,3,5,6
1973,2,4,9,1,8,7,3,6,5
1974,2,3,9,1,8,6,4,7,5
1975,2,6,9,1,8,3,4,5,7
1976,2,8,9,1,6,4,3,5,7
1977,2,7,9,1,8,6,3,4,5
1978,2,4,9,1,8,6,3,7,5
1979,2,4,9,1,8,6,3,7,5
1980,2,4,9,1,8,7,3,6,5
1981,2,3,9,1,8,5,4,6,7
1982,2,5,9,1,8,4,3,6,7
1983,2,8,9,1,6,4,3,5,7
1984,2,7,9,1,6,5,3,4,8
1985,2,6,9,1,8,4,3,5,7
1986,2,7,9,1,8,4,3,5,6
1987,2,6,9,1,8,5,3,4,7
1988,2,5,9,1,8,7,3,4,6
1989,2,5,9,1,8,7,3,4,6
1990,2,5,9,1,8,7,3,6,4
1991,2,7,9,1,8,6,3,4,5
1992,2,8,9,1,6,5,3,4,7
1993,2,7,9,1,6,5,3,4,8
1994,2,7,9,1,6,5,3,4,8
1995,2,7,9,1,8,5,3,4,6
1996,2,7,9,1,8,5,3,4,6
1997,2,5,9,1,8,7,3,6,4
1998,2,5,9,1,8,7,3,5,4
1999,2,5,9,1,8,7,3,6,4
2000,2,3,9,1,8,7,4,6,5
2001,2,3,9,1,8,7,4,6,5
2002,2,4,9,1,8,7,3,6,5
2003,2,3,9,1,8,7,5,6,4
2004,2,3,9,1,8,7,5,6,4
2005,2,3,9,1,8,7,5,6,4
